,P2.MRPS25,P1.MRPS25,S2.MRPS25,S1.MRPS25
235,0.41359945660561187,0.46201313366906416,0.3629886613902894,0.3832412345845573
236,0.413940984673812,0.46228834702183136,0.3631401127831418,0.383306698307553
237,0.41428202771360495,0.46256161806484614,0.36329072784853045,0.38337129321102953
238,0.4146225859445749,0.4628329679197765,0.3634404440365779,0.38343501205074726
239,0.4149626579187535,0.4631024147259119,0.36358919772240894,0.3834978468895959
240,0.4153022405653862,0.4633699736667595,0.3637369242982946,0.38355978915555994
241,0.41564132924202585,0.4636356570046409,0.36388355827019775,0.38362082970343825
242,0.4159799177917114,0.4638994741231144,0.36402903335853004,0.383680958880135
243,0.4163179986059735,0.4641614315770233,0.3641732826029128,0.3837401665933238
244,0.41665556269338233,0.46442153314995027,0.36431623847072614,0.38379844238327515
245,0.41699259975333813,0.46467977991883885,0.3644578329692099,0.3838557754976238
246,0.41732909825478287,0.46493617032552453,0.36459799776087487,0.38391215496883846
247,0.4176650455194983,0.4651907002549005,0.3647366642819631,0.3839675696941492
248,0.41800042780963714,0.46544336311942647,0.36487376386369136,0.38402200851767193
249,0.41833523041911946,0.46569414994967245,0.3650092278559974,0.3840754603144629
250,0.418669437768517,0.46594304949057636,0.36514298775350124,0.3841279140762262
251,0.41900303350303114,0.4661900483030803,0.36527497532338166,0.3841793589983883
252,0.4193360510982043,0.46643517531523093,0.3654050924318426,0.384229796689455
253,0.41966838207015017,0.4666783205462814,0.36553325463413283,0.38427916033344744
254,0.4200000567002546,0.4669195207023888,0.3656594435140228,0.38432748944517603
255,0.4203310566555121,0.4671587547335373,0.36578359277230443,0.3843747747483995
256,0.42066136339126226,0.4673960000235753,0.3659056370421052,0.38442100763944154
257,0.42099097694641296,0.4676312607994308,0.3660255120196271,0.38446621057842084
258,0.4213198047107841,0.46786444525112364,0.36614318346745,0.3845103796202463
259,0.4216478895099376,0.4680955706628595,0.3662585584897437,0.38455347567684456
260,0.42197518854582605,0.4683246124923303,0.36637155935481913,0.38459547430085306
261,0.42230166362006016,0.4685514876009801,0.36648208815912936,0.3846363365185582
262,0.42262734251885886,0.4687762225826315,0.3665901475718887,0.384676117559109
263,0.42295220772834746,0.46899878731334765,0.36669568206865133,0.3847148158919989
264,0.4232762424080998,0.46921915122379076,0.36679863807858903,0.38475243134617226
265,0.4235994304879728,0.4694372834366773,0.36689896410182726,0.3847889651835176
266,0.4239217567620954,0.46965315290412585,0.3669966108237846,0.3848244201692209
267,0.42424321144092036,0.4698667493638131,0.36709155625892437,0.38485882839775654
268,0.4245637977859005,0.4700780539727822,0.3671837367975129,0.38489219000254793
269,0.42488348158979455,0.4702870024782243,0.367273106228595,0.3849244916868336
270,0.4252022521211424,0.47049356482794064,0.36735962524602084,0.3849557431620019
271,0.42552009992179807,0.47069771146918443,0.36744325725541166,0.384985955943577
272,0.42583701687721043,0.4708994134789671,0.36752396846495694,0.3850151433983333
273,0.42615299628157477,0.47109864269174967,0.36760172797119495,0.3850433207864833
274,0.4264680328976073,0.47129537182420667,0.36767650783953226,0.38507050529873527
275,0.4267821230107146,0.4714895745967702,0.3677482831792602,0.385096716088029
276,0.4270952644773535,0.47168122585166994,0.36781703221284967,0.3851219742957712
277,0.4274074567673995,0.47187030166720584,0.3678827363393113,0.3851463030724147
278,0.4277187010003619,0.47205677946799957,0.3679453801914303,0.38516972759223356
279,0.4280289999753107,0.4722406381309937,0.3680049516866931,0.3851922750621714
280,0.4283383581944035,0.4724218580869764,0.3680614420717451,0.3852139747246527
281,0.42864678187992244,0.4726004214174343,0.36811484596022875,0.3852348578542666
282,0.4289542789847583,0.47277631194654607,0.3681651613638737,0.38525495774825297
283,0.42926085919630186,0.47294951532815244,0.36821238971672327,0.3852743097107358
284,0.42956653393372657,0.47312001912755286,0.36825653589239893,0.38529295103067324
285,0.42987131633867315,0.4732878128979963,0.36829760821432567,0.38531092095350744
286,0.4301752212593679,0.47345288825175585,0.36833561845885304,0.3853282606465222
287,0.43047826522823207,0.473615238925688,0.3683705818512297,0.3853450131579324
288,0.4307804664330642,0.47377486084120185,0.36840251705440297,0.38536122336975226
289,0.4310818446818979,0.47393175215857686,0.368431446150636,0.38537693794450567
290,0.4313824213616614,0.47408591332558664,0.36845739461595145,0.385392205265866
291,0.43168221939078844,0.4742373471204043,0.36848039128742816,0.38540707537332786
292,0.43198126316595065,0.4743860586887809,0.36850046832339695,0.38542159989103786
